key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
AF_BAM,2021-05-03,ChIJw-bKQwDr0jgRQiw8jHsQ-HI,Q171382,,AF,Afghanistan,BAM,Bamyan,,,,,AF,AFG,1,,,,,,,,,,,,,,,,,,492400,,,,,,,,,,,,,,,,,,,,,,,,34.75,67.25,3042,14175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF_BDG,2021-05-03,ChIJn3_EDIFQOj8RqKoIiHwIkRA,Q172052,,AF,Afghanistan,BDG,Badghis,,,,,AF,AFG,1,,,,,,,,,,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,,,,,35.0,63.75,1589,20591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,2021-05-02,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,,,,,,,AD,AND,0,,,,,,,,,,,,,,,,,,77265,58625,55581,9269,67873,,,164394.0,0.858,9370,12022,10727,12394,21001,20720,14433,8657,3904,976,4881,3154057987,40886,,9407,42.558333,1.555278,,470,,,,33.5,7.7,2.7,,,,,,4.0128,3.3333,4040.786621,1688.12146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2021-05-02,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,,,,,,,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,1,2,2,4,0,0,2,3,0,2,0,0,2,3,2,0,0,3,4,56.48,,,,,,,,,
AF,2021-05-02,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,,,,,,,AF,AFG,0,,,,,,,,,,,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59627.0,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,66176,16544,105925,19101353832,502,0.389,303427,34.0,66.0,,652860,,,64.486,,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF_BAL,2021-05-02,ChIJWZOescNSyzgRkmVJ8fmfR3k,Q121104,,AF,Afghanistan,BAL,Balkh,,,,,AF,AFG,1,,,,,,,,,,,,,,,,,,1325700,,,,,,,,,,,,,,,,,,,,,,,1674795,36.7,67.116667,340,16186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF_BAM,2021-05-02,ChIJw-bKQwDr0jgRQiw8jHsQ-HI,Q171382,,AF,Afghanistan,BAM,Bamyan,,,,,AF,AFG,1,,,,,,,,,,,,,,,,,,492400,,,,,,,,,,,,,,,,,,,,,,,,34.75,67.25,3042,14175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF_BDG,2021-05-02,ChIJn3_EDIFQOj8RqKoIiHwIkRA,Q172052,,AF,Afghanistan,BDG,Badghis,,,,,AF,AFG,1,,,,,,,,,,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,,,,,35.0,63.75,1589,20591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,2021-05-01,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,,,,,,,AD,AND,0,,,,,,,,,,,,,,,,,,77265,58625,55581,9269,67873,,,164394.0,0.858,9370,12022,10727,12394,21001,20720,14433,8657,3904,976,4881,3154057987,40886,,9407,42.558333,1.555278,,470,,,,33.5,7.7,2.7,,,,,,4.0128,3.3333,4040.786621,1688.12146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2021-05-01,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,,,,,,,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,1,2,2,4,0,0,2,3,0,2,0,0,2,3,2,0,0,3,4,56.48,,,,,,,,,
AF,2021-05-01,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,,,,,,,AF,AFG,0,,,,,,,,,,,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59627.0,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,66176,16544,105925,19101353832,502,0.389,303427,34.0,66.0,,652860,,,64.486,,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF_BAL,2021-05-01,ChIJWZOescNSyzgRkmVJ8fmfR3k,Q121104,,AF,Afghanistan,BAL,Balkh,,,,,AF,AFG,1,,,,,,,,,,,,,,,,,,1325700,,,,,,,,,,,,,,,,,,,,,,,1674795,36.7,67.116667,340,16186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF_BAM,2021-05-01,ChIJw-bKQwDr0jgRQiw8jHsQ-HI,Q171382,,AF,Afghanistan,BAM,Bamyan,,,,,AF,AFG,1,,,,,,,,,,,,,,,,,,492400,,,,,,,,,,,,,,,,,,,,,,,,34.75,67.25,3042,14175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF_BDG,2021-05-01,ChIJn3_EDIFQOj8RqKoIiHwIkRA,Q172052,,AF,Afghanistan,BDG,Badghis,,,,,AF,AFG,1,,,,,,,,,,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,,,,,35.0,63.75,1589,20591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,2021-04-30,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,,,,,,,AD,AND,0,0,0,,,13232,125,,,,,,,,,,,,77265,58625,55581,9269,67873,,,164394.0,0.858,9370,12022,10727,12394,21001,20720,14433,8657,3904,976,4881,3154057987,40886,,9407,42.558333,1.555278,,470,,,,33.5,7.7,2.7,,,,,,4.0128,3.3333,4040.786621,1688.12146,,,,,,,,,,,,,,,,,,,,,,,,,,,08117099999,39.866801,11.576389,7.638889,15.215278,6.12775,10.16,8.305556,80.762041
AE,2021-04-30,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,1712,4,,,521948,1591,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,1,2,2,4,0,0,2,3,0,2,0,0,2,3,2,0,0,3,4,56.48,41216099999,16.30311,30.211111,27.177778,34.716667,0.41275,,17.433333,47.033663
AF,2021-04-30,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,,,,,,,AF,AFG,0,183,6,,,60122,2637,,,,,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59627.0,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,66176,16544,105925,19101353832,502,0.389,303427,34.0,66.0,,652860,,,64.486,,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF_BAL,2021-04-30,ChIJWZOescNSyzgRkmVJ8fmfR3k,Q121104,,AF,Afghanistan,BAL,Balkh,,,,,AF,AFG,1,0,0,0,,3445,181,3132,,,,,,,,,,,1325700,,,,,,,,,,,,,,,,,,,,,,,1674795,36.7,67.116667,340,16186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40911099999,8.359524,25.076389,18.590278,31.4375,0.0,,9.361111,38.887505
AF_BAM,2021-04-30,ChIJw-bKQwDr0jgRQiw8jHsQ-HI,Q171382,,AF,Afghanistan,BAM,Bamyan,,,,,AF,AFG,1,0,0,0,,995,18,907,,,,,,,,,,,492400,,,,,,,,,,,,,,,,,,,,,,,,34.75,67.25,3042,14175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40948099999,180.669856,22.791667,15.902778,28.902778,0.0,,8.055556,40.577479
AF_BDG,2021-04-30,ChIJn3_EDIFQOj8RqKoIiHwIkRA,Q172052,,AF,Afghanistan,BDG,Badghis,,,,,AF,AFG,1,0,0,0,,843,16,810,,,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,,,,,35.0,63.75,1589,20591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38987099999,131.170483,23.472222,17.583333,29.305556,0.381,,12.472222,51.566059
AD,2021-04-29,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,,,,,,,AD,AND,0,34,0,,,13232,125,,,,,,,,,,,,77265,58625,55581,9269,67873,,,164394.0,0.858,9370,12022,10727,12394,21001,20720,14433,8657,3904,976,4881,3154057987,40886,,9407,42.558333,1.555278,,470,,,,33.5,7.7,2.7,,,,,,4.0128,3.3333,4040.786621,1688.12146,,,,,,,,,,,,,,,,,,,,,,,,,,,08117099999,39.866801,11.590278,7.076389,14.763889,5.6515,20.32,8.777778,83.029731
AE,2021-04-29,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,1974,3,,,520236,1587,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,-12,18,-26,-27,-15,13,1,2,2,4,0,0,2,3,0,2,0,0,2,3,2,0,0,3,4,56.48,41216099999,16.30311,31.872222,27.75,37.211111,0.0,,16.0,39.348383
AF,2021-04-29,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,,,,,,,AF,AFG,0,194,6,,,59939,2631,,,,,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59627.0,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,66176,16544,105925,19101353832,502,0.389,303427,34.0,66.0,,652860,,,64.486,,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,29,26,1,-3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF_BAL,2021-04-29,ChIJWZOescNSyzgRkmVJ8fmfR3k,Q121104,,AF,Afghanistan,BAL,Balkh,,,,,AF,AFG,1,14,0,7,,3445,181,3132,,,,,,,,,,,1325700,,,,,,,,,,,,,,,,,,,,,,,1674795,36.7,67.116667,340,16186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40911099999,8.359524,28.125,17.875,36.847222,0.0,,8.180556,30.406649
AF_BAM,2021-04-29,ChIJw-bKQwDr0jgRQiw8jHsQ-HI,Q171382,,AF,Afghanistan,BAM,Bamyan,,,,,AF,AFG,1,0,0,0,,995,18,907,,,,,,,,,,,492400,,,,,,,,,,,,,,,,,,,,,,,,34.75,67.25,3042,14175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40948099999,180.669856,23.694444,15.222222,31.819444,0.0,,5.555556,38.160572
AF_BDG,2021-04-29,ChIJn3_EDIFQOj8RqKoIiHwIkRA,Q172052,,AF,Afghanistan,BDG,Badghis,,,,,AF,AFG,1,0,0,0,,843,16,810,,,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,,,,,35.0,63.75,1589,20591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38987099999,131.170483,26.083333,16.097222,34.069444,0.0,,8.5,35.043387
AD,2021-04-28,ChIJlfCemC71pRIRkn_qeNc-yQc,Q228,country/AND,AD,Andorra,,,,,,,AD,AND,0,50,0,,,13198,125,,,,,,,,,,,,77265,58625,55581,9269,67873,,,164394.0,0.858,9370,12022,10727,12394,21001,20720,14433,8657,3904,976,4881,3154057987,40886,,9407,42.558333,1.555278,,470,,,,33.5,7.7,2.7,,,,,,4.0128,3.3333,4040.786621,1688.12146,,,,,,,,,,,,,,,,,,,,,,,,,,,08117099999,39.866801,11.965278,9.826389,14.979167,1.197429,,9.548611,85.274042
AE,2021-04-28,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,1961,4,,193693,518262,1584,,43310259,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,-13,19,-28,-29,-15,12,1,2,2,4,0,0,2,3,0,2,0,0,2,3,2,0,0,3,4,56.48,41216099999,16.30311,33.5,27.222222,39.271605,0.0,,13.388889,31.52315
AF,2021-04-28,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,,,,,,,AF,AFG,0,169,7,,,59745,2625,,,,,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59627.0,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,66176,16544,105925,19101353832,502,0.389,303427,34.0,66.0,,652860,,,64.486,,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,15,55,-9,-17,-40,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

